N,backend,solver,repeat,time_s
60,cpu,multigrid,14,0.108883917
60,cpu,multigrid,15,0.105219667
60,cpu,multigrid,16,0.101369541
60,cpu,multigrid,17,0.109013167
60,cpu,multigrid,18,0.107594416
60,cpu,multigrid,19,0.109765875
60,cpu,multigrid,20,0.104044375
80,cpu,multigrid,1,0.169892667
80,cpu,multigrid,2,0.15823875
80,cpu,multigrid,3,0.172099167
80,cpu,multigrid,4,0.176027708
80,cpu,multigrid,5,0.169638
80,cpu,multigrid,6,0.165040541
80,cpu,multigrid,7,0.386985458
80,cpu,multigrid,8,0.160746
80,cpu,multigrid,9,0.162725292
80,cpu,multigrid,10,0.173548166
80,cpu,multigrid,11,0.163501333
80,cpu,multigrid,12,0.159084917
80,cpu,multigrid,13,0.155874541
80,cpu,multigrid,14,0.174555583
80,cpu,multigrid,15,0.170399458
80,cpu,multigrid,16,0.159758417
80,cpu,multigrid,17,0.157016666
80,cpu,multigrid,18,0.1636665
80,cpu,multigrid,19,0.152022333
80,cpu,multigrid,20,0.153936792
100,cpu,multigrid,1,0.231051833
100,cpu,multigrid,2,0.230926583
100,cpu,multigrid,3,0.222332916
100,cpu,multigrid,4,0.239295
100,cpu,multigrid,5,0.237289708
100,cpu,multigrid,6,0.247344916
100,cpu,multigrid,7,0.2362015
100,cpu,multigrid,8,0.226479
100,cpu,multigrid,9,0.238169875
100,cpu,multigrid,10,0.2267285
100,cpu,multigrid,11,0.234108584
100,cpu,multigrid,12,0.245365209
100,cpu,multigrid,13,0.233796084
100,cpu,multigrid,14,0.228773959
100,cpu,multigrid,15,0.234947834
100,cpu,multigrid,16,0.236194083
100,cpu,multigrid,17,0.229098625
100,cpu,multigrid,18,0.232282083
100,cpu,multigrid,19,0.237169083
100,cpu,multigrid,20,0.223701792
120,cpu,multigrid,1,0.331691875
120,cpu,multigrid,2,0.31964
120,cpu,multigrid,3,0.322713
120,cpu,multigrid,4,0.324015167
120,cpu,multigrid,5,0.335204334
120,cpu,multigrid,6,0.318885584
120,cpu,multigrid,7,0.326579583
120,cpu,multigrid,8,0.328682708
120,cpu,multigrid,9,0.342883625
120,cpu,multigrid,10,0.337540792
120,cpu,multigrid,11,0.334753
120,cpu,multigrid,12,0.334478292
120,cpu,multigrid,13,0.326698041
120,cpu,multigrid,14,0.347329875
120,cpu,multigrid,15,0.375280708
120,cpu,multigrid,16,0.3443165
120,cpu,multigrid,17,0.336950208
120,cpu,multigrid,18,0.329669333
120,cpu,multigrid,19,0.332217667
120,cpu,multigrid,20,0.319352125
140,cpu,multigrid,1,0.444298791
140,cpu,multigrid,2,0.439413875
140,cpu,multigrid,3,0.424396333
140,cpu,multigrid,4,0.421286209
140,cpu,multigrid,5,0.422219792
140,cpu,multigrid,6,0.432793041
140,cpu,multigrid,7,0.423718042
140,cpu,multigrid,8,0.429597083
140,cpu,multigrid,9,0.429959417
140,cpu,multigrid,10,0.423702541
140,cpu,multigrid,11,0.418356625
140,cpu,multigrid,12,0.428488583
140,cpu,multigrid,13,0.4235355
140,cpu,multigrid,14,0.44303625
140,cpu,multigrid,15,0.4518695
140,cpu,multigrid,16,0.4398125
140,cpu,multigrid,17,0.434242959
140,cpu,multigrid,18,0.679587375
140,cpu,multigrid,19,0.436402625
140,cpu,multigrid,20,0.432306333
160,cpu,multigrid,1,0.578698458
160,cpu,multigrid,2,0.562565834
160,cpu,multigrid,3,0.575894708
160,cpu,multigrid,4,0.59591175
160,cpu,multigrid,5,0.595334417
160,cpu,multigrid,6,0.618381208
160,cpu,multigrid,7,0.574905375
160,cpu,multigrid,8,0.569501292
160,cpu,multigrid,9,0.549476833
160,cpu,multigrid,10,0.542946458
160,cpu,multigrid,11,0.566855583
160,cpu,multigrid,12,0.597666458
160,cpu,multigrid,13,0.621514417
160,cpu,multigrid,14,0.578964292
160,cpu,multigrid,15,0.568033167
160,cpu,multigrid,16,0.544161458
160,cpu,multigrid,17,0.542676417
160,cpu,multigrid,18,0.536964167
160,cpu,multigrid,19,0.538281333
160,cpu,multigrid,20,0.567671167
180,cpu,multigrid,1,1.013955208
180,cpu,multigrid,2,0.688223791
180,cpu,multigrid,3,0.668113125
180,cpu,multigrid,4,0.678023125
180,cpu,multigrid,5,0.674080083
180,cpu,multigrid,6,0.666880125
180,cpu,multigrid,7,0.68561175
180,cpu,multigrid,8,0.727043083
180,cpu,multigrid,9,0.673560791
180,cpu,multigrid,10,0.696692459
180,cpu,multigrid,11,0.692993375
180,cpu,multigrid,12,0.686916792
180,cpu,multigrid,13,0.670044541
180,cpu,multigrid,14,0.712186584
180,cpu,multigrid,15,0.674278917
180,cpu,multigrid,16,0.678232333
180,cpu,multigrid,17,0.704100584
180,cpu,multigrid,18,0.714293
