N,backend,solver,repeat,time_s
10,metal,multigrid,1,2.622973792
10,metal,multigrid,2,2.574739125
10,metal,multigrid,3,2.5891895
10,metal,multigrid,4,2.578938458
10,metal,multigrid,5,2.613806875
10,metal,multigrid,6,2.582155417
10,metal,multigrid,7,2.582438791
10,metal,multigrid,8,2.59051975
10,metal,multigrid,9,2.574789167
10,metal,multigrid,10,2.610999666
10,metal,multigrid,11,2.579307459
10,metal,multigrid,12,2.515425125
10,metal,multigrid,13,2.58628075
10,metal,multigrid,14,2.949782959
10,metal,multigrid,15,2.585614792
10,metal,multigrid,16,2.592331042
10,metal,multigrid,17,2.570612667
10,metal,multigrid,18,2.615503417
10,metal,multigrid,19,2.56805625
10,metal,multigrid,20,2.57786125
100,metal,multigrid,1,2.936655291
100,metal,multigrid,2,2.909583666
100,metal,multigrid,3,3.826555666
100,metal,multigrid,4,2.91537075
100,metal,multigrid,5,2.897562167
100,metal,multigrid,6,3.045994167
100,metal,multigrid,7,3.059120375
100,metal,multigrid,8,2.833917209
100,metal,multigrid,9,2.846968708
100,metal,multigrid,10,3.05858725
100,metal,multigrid,11,2.916272042
100,metal,multigrid,12,2.917262667
100,metal,multigrid,13,3.096407708
100,metal,multigrid,14,2.818040083
100,metal,multigrid,15,2.887883625
100,metal,multigrid,16,3.623605583
100,metal,multigrid,17,2.915802667
100,metal,multigrid,18,2.903670458
100,metal,multigrid,19,2.904321333
100,metal,multigrid,20,2.926027416
1000,metal,multigrid,1,28.686465375
1000,metal,multigrid,2,29.248685625
1000,metal,multigrid,3,28.497465542
1000,metal,multigrid,4,28.598598917
1000,metal,multigrid,5,29.105831291
1000,metal,multigrid,6,28.531058167
1000,metal,multigrid,7,29.25604
1000,metal,multigrid,8,28.897906208
1000,metal,multigrid,9,30.232405167
1000,metal,multigrid,10,28.61885825
1000,metal,multigrid,11,28.390149625
1000,metal,multigrid,12,29.332182625
1000,metal,multigrid,13,28.489481708
1000,metal,multigrid,14,29.363988583
1000,metal,multigrid,15,28.195033416
1000,metal,multigrid,16,29.450808125
1000,metal,multigrid,17,28.61854175
1000,metal,multigrid,18,28.491946209
1000,metal,multigrid,19,29.243123833
1000,metal,multigrid,20,28.808879584
10000,metal,multigrid,1,849.240236666
10000,metal,multigrid,2,862.692471208
10000,metal,multigrid,3,864.52756425
10000,metal,multigrid,4,868.586104166
10000,metal,multigrid,5,863.859232209
10000,metal,multigrid,6,866.79682975
10000,metal,multigrid,7,853.400071791
10000,metal,multigrid,8,865.44694975
10000,metal,multigrid,9,868.094280292
10000,metal,multigrid,10,861.121206167
10000,metal,multigrid,11,868.63903675
10000,metal,multigrid,12,848.149712333
10000,metal,multigrid,13,834.997913125
10000,metal,multigrid,14,847.09832075
10000,metal,multigrid,15,865.921371625
10000,metal,multigrid,16,855.943662292
10000,metal,multigrid,17,851.586574541
10000,metal,multigrid,18,854.492278708
10000,metal,multigrid,19,878.076173958
10000,metal,multigrid,20,872.106514125
